'S,EH S
A,AH
A,EY
A'S,EY Z
AAA,T R IH P AH L EY
ABT,EY B IY T IY
ABTS,EY B IY T IY EH S
ABTS,EY B IY T IY Z
ADSS,EY D IY EH S EH S
AG,EY G IY
AI,EY AY
AKA,EY K EY EY
AM,EY EH M
AM'S,EY EH M Z
ANFAL,EY EH N EH F EY EH L
AOL,AH M ER IH K AH AA N L AY N
AOL,EY OW EH L
APC,EY P IY S IY
APC'S,EY P IY S IY Z
ASEA,EY EH S IY EY
ASEAN,EY EH S IY EY EH N
ATX,EY T IY EH K S
AWB,EY D AH B AH L Y UW B IY
AWB,EY D AH B AH Y UW B IY
B,B IY
B'GOSH,B AY G AO SH
B'S,B IY Z
BBC,B IY B IY S IY
BBC'S,B IY B IY S IY S
BBQ,B AA R B IH K Y UW
BBQ,B IY B IY K Y UW
BT,B IY T IY
BTA,B IY T IY EY
BUA,B IY Y UW EY
BYU,B IY W AY Y UW
C'S,S IY Z
CA,S IY EY
CAC,S IY EY S IY
CACLD,S IY EY S IY EH L D IY
CC,S IY S IY
CCS,S IY S IY EH S
CD,S IY D IY
CEA,S IY IY EY
CEL,S IY IY EH L
CELO,S IY IY EH L OW
CIA,S IY AY EY
CIE,S IY AY IY
CLUJ,S IY EH L Y UW JH EY
CMOS,S IY EH M OW EH S
CMOS,S IY M OW S
CMX,K AH M EH K S
CNN,S IY EH N EH N
CNNFN,S IY EH N EH N EH F EH N
COD,S IY OW D IY
CPS,S IY P IY EH S
CSPAN,S IY S P AE N
CSPI,S IY EH S P IY AY
CT,K AO R T
CUS,S IY Y UW EH S
CXC,S IY EH K S IY
CXC,S IY EH K S S IY
CYB,S IY W AY B IY
D,D IY
D'S,D IY Z
DA'S,D IY EY Z
DAK,D IY EY K EY
DBASE,D IY B EY S
DDT,D IY D IY T IY
DFW,D IY EH F D AH B AH L Y UW
DFW,D IY EH F D AH B AH Y UW
DIFM,D IY AY EH F EH M
DK,D IY K EY
DQALPHA,D IY K Y UW AE L F AH
DR,D AA K T ER
DRAM,D IY R AE M
DSS,D IY EH S EH S
DSV,D IY EH S V IY
DUI,D IY Y UW AY
DWI,D IY D AH B AH L Y UW AY
DWI,D IY D AH B AH Y UW AY
E'S,IY Z
EAP,IY EY P IY
EEO,IY IY OW
EK,IY K EY
EKK,IY K EY K EY
EMDR,IY EH M D IY AA R
ERS,IY AA R EH S
ETC,EH T S EH T ER AH
F,EH F
F'D,EH F D
F'S,EH F S
FEB,F EH B Y AH W EH R IY
FM,EH F EH M
FOIA,EH F OW AY EY
FOP,EH F OW P IY
G'S,JH IY Z
GA,JH AO R JH AH
GA,JH IY EY
GEAC,JH IY IY EY S IY
GED,JH IY IY D IY
GENEGO,JH IY IY EH N IY JH IY OW
GMBH,JH IY EH M B IY EY CH
GNC,JH IY EH N S IY
GOVPX,G AH V P IY EH K S
GTECH,JH IY T EH K
GTECH'S,JH IY T EH K S
GWAY,JH IY W EY
GYI,JH IY W AY AY
H,EY CH
H'S,EY CH IH Z
HBOX,EY CH B AO K S
HCES,EY CH S IY IY EH S
HFDF,EY CH EH F D IY EH F
HIAA,EY CH AY EY EY
IB,AY B IY
ID,AY D IY
IMO,AY EH M OW
INS,AY EH N EH S
IP,AY P IY
IRA,AY AA R EY
IRVE,AY AA R V IY IY
ISTY,AY EH S T IY W AY
ISU,AY EH S Y UW
ITA,AY T IY EY
J,JH EY
K'S,K EY Z
KAL,K EY EY EH L
KCAL,K EY K AA L
KCOP,K EY K AO P
KJAR,K EY JH EY EY AA R
KKK,K EY K EY K EY
KMART,K EY M AA R T
KMART'S,K EY M AA R T S
KNBC,K EY EH N B IY S IY
KYI,K EY W AY AY
L,EH L
LAPD,EH L EY P IY D IY
LAPD'S,EH L EY P IY D IY Z
LN,L EY N
LP,EH L P IY
LS,EH L EH S
LSD,EH L EH S D IY
LWIN,EH L W IH N
LXI,EH L EH K S AY
M,EH M
M,EH M T UW
M,EH M W AH N
M'BOW,EH M B OW
M'S,EH M Z
MAM,EH M EY EH M
MBANK,EH M B AE NG K
MBEKI,AH M B EH K IY
MBEKI,EH M B EH K IY
MC,EH M S IY
MCORP,EH M K AO R P
MGM,EH M G IY EH M
MH,EH M EY CH
MHM,AH M HH AH M
MIT,EH M AY T IY
MJ'S,EH M JH EY Z
MPEG,EH M P EH G
MPH,EH M P IY EY CH
MPH,M AY L Z P ER AW ER
MR,M IH S T ER
MRS,M IH S IH Z
MS,M IH Z
MSGR,M AA N S IY N Y ER
MTEL,EH M T EH L
N,EH N
N'S,EH N Z
NDAU,EH N D AW
NEPL,EH N IY P IY EH L
NGAI,EH N G AY
NGEMA,EH N G EH M AA
NGHI,EH N G IY
NGO,EH NG G OW
NOAA,EH N OW EY EY
NPR,EH N P IY AA R
NPR'S,EH N P IY AA R Z
NVHOMES,EH N V IY HH OW M Z
NVRYAN,EH N V R AY AH N
OAD,OW EY D IY
ODP,OW D IY P IY
OJ,OW JH EY
OK,OW K EY
OT,OW T IY
P,P IY
P'S,P IY Z
PGM,P IY JH IY EH M
PH,P IY EY CH
PHLCORP,P IY EY CH EH L K AO R P
PJ'S,P IY JH EY Z
Q,K Y UW
QASR,K Y UW EY EH S AA R
QMAX,K Y UW M AE K S
R,AA R
R'S,AA R Z
RPF,AA R P IY EH F
RPM,AA R P IY EH M
RZASA,ER Z AA S AH
RZEPKA,ER Z EH P K AH
S'S,EH S IH Z
SAI,EH S EY AY
SBF,EH S B IY EH F
SCI,EH S S IY AY
SR,S IH S T ER
SR,S IY N Y ER
SRAM,EH S R AE M
SRI,EH S AA R AY
STDS,EH S T IY D IY EH S
STDS,EH S T IY D IY Z
SUU,EH S Y UW Y UW
SYP,EH S W AY P IY
T,T IY
T'S,T IY Z
TB,T IY B IY
TCAS,T IY S IY EY EH S
TH,T IY EY CH
TS,T IY EH S
TT'S,T IY T IY Z
U,Y UW
U'S,Y UW Z
UN,Y UW EH N
US,Y UW EH S
USA,Y UW EH S EY
USS,Y UW EH S EH S
UVA,Y UW V IY EY
UY,Y UW W AY
UYS,Y UW W AY EH S
V'S,V IY Z
VS,V ER S AH Z
VSEL,V IY S EH L
W,D AH B AH L Y UW
W'S,D AH B AH L Y UW Z
WM,D AH B AH Y UW EH M
WM,W IH L Y AH M
X,EH K S
X'S,EH K S IH Z
Y,W AY
Y'S,W AY Z
Z,Z IY
Z'S,Z IY Z
ZEPA,Z IY IY P IY EY
